marca,nombre,precio,num_resenas,url
SAMSUNG,Lavaseca Ecobubble Con Airwash 11 Kg / 7 Kg,"S/ 1,749",682,https://www.falabella.com.pe/falabella-pe/product/18245973/lavaseca-ecobubble-con-airwash-11-kg-7-kg/18245973
HISENSE,"Televisor 98"" Hi-QLED 4K 98Q6Qg Smart Tv","S/ 4,699",46,https://www.falabella.com.pe/falabella-pe/product/21018331/televisor-hisense-98-qled-4k-98q6qg-smart-tv/21018331
APPLE,IPhone 17 Pro Max 256GB,"S/ 6,599",129,https://www.falabella.com.pe/falabella-pe/product/prod18580273/iPhone-17-Pro-Max-256GB/21283556
APPLE,IPhone 17 256GB,"S/ 4,399",179,https://www.falabella.com.pe/falabella-pe/product/prod18580269/iPhone-17-256GB/21283540
SAMSUNG,"Televisor 55"" Crystal Uhd U8000F Smart Tv (2025)","S/ 1,199",277,https://www.falabella.com.pe/falabella-pe/product/20980548/televisor-samsung-55-crystal-uhd-u8000f-smart-tv-2025/20980548
SAMSUNG,Celular Galaxy A57 5G,"S/ 1,999",28,https://www.falabella.com.pe/falabella-pe/product/80007794/celular-samsung-galaxy-a57-5g/80007798
JVC,"Televisor 40"" Qled Fhd Google Tv Lt-40kb758",S/ 499,31,https://www.falabella.com.pe/falabella-pe/product/883695702/televisor-jvc-40-qled-fhd-google-tv-lt-40kb758/883695702
LG,Televisor 43'' Nano UHD 4K Smart Thinkq AI,S/ 999,,https://www.falabella.com.pe/falabella-pe/product/153614457/televisor-lg-43-nano-uhd-4k-smart-thinkq-ai/153614459
LENOVO,"Laptop IdeaPad Slim 3i Intel Core i5 16GB RAM 512GB SSD 15.3"" WUXGA","S/ 2,499",21,https://www.falabella.com.pe/falabella-pe/product/883856471/laptop-lenovo-ideapad-slim-3i-intel-core-i5-16gb-ram-512gb-ssd-15-3-wuxga/883856471
APPLE,MacBook Neo 8GB 256 GB,"S/ 2,899",17,https://www.falabella.com.pe/falabella-pe/product/80025694/mbn-13-cit-8gb-256gb-spa/80025693
JVC,"Televisor 58"" Qled Pro 4k Google Tv Smart Tv",S/ 999,38,https://www.falabella.com.pe/falabella-pe/product/883599329/televisor-jvc-58-qled-pro-4k-google-tv-smart-tv/883599329
APPLE,Iphone 15 128Gb,"S/ 4,999",36,https://www.falabella.com.pe/falabella-pe/product/prod17580066/Iphone-15-128Gb/20039955
JVC,"Televisor 43"" QLED FHD Google Tv LT-43KM4584 Smart Tv",S/ 599,52,https://www.falabella.com.pe/falabella-pe/product/883739597/lcd-40-a-42-pul-lt-43km458/883739597
LG,"Televisor 65"" Qned MiniLed 4K Smart Tv 65QNED70BSA","S/ 1,949",27,https://www.falabella.com.pe/falabella-pe/product/80061196/televisor-lg-65-qned-miniled-4k-smart-tv-65qned70bsa/80061196
APPLE,IPhone 17 Pro 256GB,"S/ 5,999",94,https://www.falabella.com.pe/falabella-pe/product/prod18580271/iphone-17-pro-256gb/21283548
LG,"Televisor 75"" NANO 4K UHD AI Smart TV 2026 75NU800BPSBQ","S/ 2,199",38,https://www.falabella.com.pe/falabella-pe/product/80053304/lg-nanouhd-4k-75-nu8000-smart/80053304
APPLE,IPad 11 Chip A16 Wi-Fi,"S/ 1,549",19,https://www.falabella.com.pe/falabella-pe/product/prod18440041/iPad-Apple-11-Chip-A16-Wi-Fi/21014911
HP,"Laptop 15-fd0253la Intel Core i5-1334u 8gb Ram 512gb Ssd 15.6"" + Mochila + Mouse","S/ 1,979",19,https://www.falabella.com.pe/falabella-pe/product/20936199/laptop-hp-15-fd0253la-intel-core-i5-1334u-8gb-ram-512gb-ssd-15-6-mochila-mouse/20936199
TCL,"Televisor 65"" Qled 4k 65t6c Google Tv","S/ 1,399",57,https://www.falabella.com.pe/falabella-pe/product/883648175/televisor-tcl-65-qled-4k-65t6c-google-tv/883648175
SAMSUNG,"Televisor 65"" Crystal Uhd U8000F Smart Tv (2025)","S/ 1,599",148,https://www.falabella.com.pe/falabella-pe/product/20980547/televisor-samsung-65-crystal-uhd-u8000f-smart-tv-2025/20980547
SAMSUNG,Celular Galaxy S24 Fe 128gb Graphite,"S/ 1,699",199,https://www.falabella.com.pe/falabella-pe/product/20885293/celular-galaxy-s24-fe-128gb-graphite/20885293
LENOVO,"Laptop IdeaPad Slim 3i Intel Core i7 16GB RAM 512GB SSD 15.3"" WUXGA Tactil","S/ 2,999",11,https://www.falabella.com.pe/falabella-pe/product/883856495/laptop-lenovo-ideapad-slim-3i-intel-core-i7-16gb-ram-512gb-ssd-15-3-wuxga-tactil/883856495
LG,"Televisor 55"" QNED MiniLED AI 4K Smart TV 2026 55QNED70BSA","S/ 1,449",19,https://www.falabella.com.pe/falabella-pe/product/80053314/lg-miniled-4k-55-qned70b-smar/80053314
LENOVO,"Laptop AMD Ryzen 5 8gb 512gb Ssd Ideapad Slim 3 Serie 7000 15.6"" Fhd + Maletín","S/ 1,799",15,https://www.falabella.com.pe/falabella-pe/product/883406985/laptop-lenovo-amd-ryzen-5-8gb-512gb-ssd-ideapad-slim-3-serie-7000-15-6-fhd-maletin-lenovo/883406985
